Time,Demand (MW),Grid Import (MW),Solar Used (MW),Wind Used (MW),BESS Charge (MW),BESS Discharge (MW),SOC (MWh)
2025-01-01T00:00:00,59,10.0,0.0,0.0,0.0,4.99999999999999,23.6842105263158
2025-01-01T00:15:00,35,10.0,0.0,0.0,0.0,4.99999999999999,22.3684210526316
2025-01-01T00:30:00,88,10.0,0.0,0.0,0.0,4.99999999999999,21.0526315789474
2025-01-01T00:45:00,95,10.0,0.0,0.0,0.0,4.99999999999999,19.7368421052632
2025-01-01T01:00:00,84,10.0,0.0,0.0,0.0,5.00000000000001,18.421052631579
2025-01-01T01:15:00,90,10.0,0.0,0.0,0.0,5.00000000000001,17.1052631578947
2025-01-01T01:30:00,58,10.0,0.0,0.0,0.0,4.99999999999999,15.7894736842105
2025-01-01T01:45:00,47,10.0,0.0,0.0,0.0,5.0,14.4736842105263
2025-01-01T02:00:00,31,10.0,0.0,0.0,0.0,5.0,13.1578947368421
2025-01-01T02:15:00,33,10.0,0.0,0.0,0.0,5.0,11.8421052631579
2025-01-01T02:30:00,100,10.0,0.0,0.0,0.0,5.0,10.5263157894737
2025-01-01T02:45:00,32,10.0,0.0,0.0,0.0,5.0,9.21052631578948
2025-01-01T03:00:00,51,10.0,0.0,0.0,0.0,5.0,7.89473684210527
2025-01-01T03:15:00,91,10.0,0.0,0.0,0.0,5.0,6.57894736842106
2025-01-01T03:30:00,62,10.0,0.0,0.0,0.0,5.0,5.26315789473685
2025-01-01T03:45:00,72,10.0,0.0,0.0,0.0,1.00000000000001,5.0
2025-01-01T04:00:00,63,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T04:15:00,40,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T04:30:00,54,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T04:45:00,61,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T05:00:00,63,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T05:15:00,53,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T05:30:00,26,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T05:45:00,90,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T06:00:00,28,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T06:15:00,90,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T06:30:00,36,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T06:45:00,28,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T07:00:00,39,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T07:15:00,76,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T07:30:00,68,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T07:45:00,93,10.0,0.0,0.0,0.0,0.0,5.0
2025-01-01T08:00:00,13,10.0,0.0,0.0,0.0,0.0,5.0
